D,R,N_R,H_R,C_sigma_inerte
-43,101,9,1.000000000000,0.411248362887
-43,121,7,1.000000000000,0.277442428258
-43,141,19,1.666666666667,0.400112501775
-43,161,14,1.285714285714,0.343669860434
-43,181,12,1.000000000000,0.344651736880
-43,201,24,1.666666666667,0.379938262070
-43,221,20,1.000000000000,0.488521511450
-43,241,18,1.008298755187,0.406281254333
-43,261,36,2.019157088123,0.380119041107
-43,281,20,1.000000000000,0.401306382159
-43,301,1,1.285714285714,0.014747054948
-43,321,36,1.666666666667,0.388358655014
-43,341,22,1.000000000000,0.376250482405
-43,361,27,1.110803324100,0.396507992207
-43,381,39,1.666666666667,0.364990827764
-43,401,21,1.000000000000,0.313898229360
-43,421,27,1.004750593824,0.385699968107
-43,441,75,2.505668934240,0.413283588831
-43,461,32,1.000000000000,0.425745634221
-43,481,36,1.054054054054,0.438523119771
-43,501,50,1.666666666667,0.372251862340
-43,521,36,1.003838771593,0.430606121421
-43,541,28,1.000000000000,0.325722254728
-43,561,57,1.666666666667,0.385876033813
-43,581,47,1.285714285714,0.400459552305
-43,601,38,1.003327787022,0.403228204830
-43,621,71,1.962962962963,0.374589423148
-43,641,38,1.003120124805,0.381951974126
-43,661,38,1.000000000000,0.373317164772
-43,681,64,1.681350954479,0.364635797025
-43,701,37,1.000000000000,0.345852770072
-43,721,58,1.285714285714,0.411733624555
-43,741,77,1.842105263158,0.372759009632
-43,761,40,1.002628120894,0.347818262535
-43,781,47,1.028169014085,0.389846864312
-43,801,92,1.931335830212,0.397607761558
-43,821,46,1.000000000000,0.375985460457
-43,841,54,1.071343638526,0.403627025126
-43,861,102,2.142857142857,0.373618232765
-43,881,43,1.000000000000,0.330971030551
-43,901,53,1.000000000000,0.400206191624
-43,921,80,1.666666666667,0.355724301564
-43,941,55,1.000000000000,0.400193275959
-43,961,47,1.000000000000,0.335894690137
-43,981,97,1.888888888889,0.360599853523
-43,1001,75,1.285714285714,0.402608087373
-43,1021,56,1.001958863859,0.379274797475
-43,1041,95,1.676272814601,0.378254453592
-43,1061,51,1.001885014138,0.334257125183
-43,1081,53,1.000000000000,0.342496777368
-43,1101,97,1.666666666667,0.370237324938
-43,1121,70,1.105263157895,0.396721831812
-43,1141,79,1.301489921122,0.374500449589
-43,1161,7,1.962962962963,0.021675848562
-43,1181,68,1.001693480102,0.406627171176
-43,1201,64,1.000000000000,0.377866968038
-43,1221,112,1.756756756757,0.371110327786
-43,1241,65,1.027397260274,0.363167632187
-43,1261,65,1.000000000000,0.368023728658
-43,1281,156,2.213114754098,0.393736092803
-43,1301,69,1.000000000000,0.380316145286
-43,1321,63,1.000000000000,0.342715436173
-43,1341,142,1.914243102163,0.398350707217
-43,1361,67,1.001469507715,0.354710436667
-43,1381,75,1.001448225923,0.392112969274
-43,1401,119,1.673804425410,0.367653750113
-43,1421,107,1.418015482055,0.385471675289
-43,1441,76,1.015267175573,0.377822992000
-43,1461,123,1.666666666667,0.368084516897
-43,1481,79,1.001350438893,0.388899091252
-43,1501,91,1.105263157895,0.401183665870
-43,1521,149,1.888888888889,0.380000477044
-43,1541,73,1.000000000000,0.347718130421
-43,1561,112,1.297245355541,0.406688975357
-43,1581,133,1.666666666667,0.371784860474
-43,1601,80,1.000000000000,0.368688755178
-43,1621,82,1.001233806292,0.373410646200
-43,1641,140,1.666666666667,0.378950110696
-43,1661,87,1.013245033113,0.383315647378
-43,1681,77,1.000000000000,0.340208267860
-43,1701,229,2.566137566138,0.390269070941
-43,1721,87,1.000000000000,0.376645839204
-43,1741,88,1.000000000000,0.377182604652
-43,1761,136,1.672345258376,0.345132307897
-43,1781,95,1.014598540146,0.393507679531
-43,1801,92,1.000000000000,0.382921130348
-43,1821,144,1.672158154860,0.355017509189
-43,1841,122,1.295491580663,0.384571836524
-43,1861,92,1.001074691026,0.371796012674
-43,1881,196,2.087719298246,0.376305966525
-43,1901,89,1.000000000000,0.353478193310
-43,1921,101,1.017699115044,0.390598832450
-43,1941,157,1.671818650180,0.366299074748
-43,1961,99,1.054054054054,0.363105840732
-43,1981,130,1.285714285714,0.387466201834
-43,2001,176,1.781609195402,0.375272597724
-43,2021,6,1.000000000000,0.022596776994
-43,2041,106,1.012738853503,0.390830521170
-43,2061,187,1.888888888889,0.366552019169
-43,2081,99,1.000000000000,0.363488601063
-43,2101,103,1.010471204188,0.371157501737
-43,2121,223,2.142857142857,0.375819665317
