D,R,N_R,H_R,C_sigma_inerte,v2_R,v5_R,method_row,n_samples,n_hits,se_N_R,seed,grid_name
-11,102,35.0,1.1176470588235294,1.4199477935521885,1,0,exact,101,35,0.0,20260217,complement
-11,105,39.0,1.2857142857142858,1.344477434489951,0,1,exact,104,39,0.0,20260217,complement
-11,110,17.0,1.0,0.7264378747133735,1,1,exact,109,17,0.0,20260217,complement
-11,122,35.0,1.0327868852459017,1.3344502902036823,1,0,exact,121,35,0.0,20260217,complement
-11,124,33.0,1.0,1.2828168682658565,2,0,exact,123,33,0.0,20260217,complement
-11,142,39.0,1.0,1.3611074313130225,1,0,exact,141,39,0.0,20260217,complement
-11,155,37.0,1.0,1.2039143827484653,0,1,exact,154,37,0.0,20260217,complement
-11,162,41.0,1.0,1.2876015416328872,1,0,exact,161,41,0.0,20260217,complement
-11,164,47.0,1.048780487804878,1.3935681517891705,2,0,exact,163,47,0.0,20260217,complement
-11,168,59.0,1.2857142857142858,1.399601272151816,3,0,exact,167,59,0.0,20260217,complement
-11,182,76.0,1.4835164835164838,1.4648315119179123,1,0,exact,181,76,0.0,20260217,complement
-11,202,52.0,1.0198019801980198,1.339951069246906,1,0,exact,201,52,0.0,20260217,complement
-11,204,61.0,1.1176470588235294,1.4228303492302508,2,0,exact,203,61,0.0,20260217,complement
-11,205,53.0,1.048780487804878,1.3121838553224914,0,1,exact,204,53,0.0,20260217,complement
-11,210,69.0,1.2857142857142858,1.3664830356277975,1,1,exact,209,69,0.0,20260217,complement
-11,220,20.0,1.0,0.49032977694112384,2,1,exact,219,20,0.0,20260217,complement
-11,222,57.0,1.0,1.3871739223726123,1,0,exact,221,57,0.0,20260217,complement
-11,242,25.0,1.0,0.5670390212971784,1,0,exact,241,25,0.0,20260217,complement
-11,244,63.0,1.0327868852459017,1.3742920563233005,2,0,exact,243,63,0.0,20260217,complement
-11,248,61.0,1.0,1.3561256190163868,3,0,exact,247,61,0.0,20260217,complement
-11,255,71.0,1.1176470588235294,1.3804551287938533,0,1,exact,254,71,0.0,20260217,complement
-11,262,62.0,1.015267175572519,1.2978848091473232,1,0,exact,261,62,0.0,20260217,complement
-11,275,48.0,1.0,0.9803818643199834,0,2,exact,274,48,0.0,20260217,complement
-11,282,65.0,1.0,1.3004395730885723,1,0,exact,281,65,0.0,20260217,complement
-11,284,66.0,1.0,1.3127897877416888,2,0,exact,283,66,0.0,20260217,complement
-11,302,66.0,1.0132450331125828,1.231660729237717,1,0,exact,301,66,0.0,20260217,complement
-11,305,73.0,1.0327868852459017,1.3256595545788605,0,1,exact,304,73,0.0,20260217,complement
-11,310,72.0,1.0,1.3323651787693607,1,1,exact,309,72,0.0,20260217,complement
-11,322,95.0,1.2857142857142858,1.3250782532046346,1,0,exact,321,95,0.0,20260217,complement
-11,324,71.0,1.0,1.2667678692014055,2,0,exact,323,71,0.0,20260217,complement
-11,328,80.0,1.048780487804878,1.3472124670660799,3,0,exact,327,80,0.0,20260217,complement
-11,342,86.0,1.1052631578947367,1.3274966227179474,1,0,exact,341,86,0.0,20260217,complement
-11,355,75.0,1.0,1.24058826538213,0,1,exact,354,75,0.0,20260217,complement
-11,362,80.0,1.0,1.3020208202929882,1,0,exact,361,80,0.0,20260217,complement
-11,364,130.0,1.4835164835164838,1.419685190356993,2,0,exact,363,130,0.0,20260217,complement
-11,382,83.0,1.0,1.2918060484668736,1,0,exact,381,83,0.0,20260217,complement
