D,model,R_tail_min,C_inf,se_C_inf,a,se_a,b,se_b,r2,n_tail_pts,n_bins,R_min,R_max
-163,linear,1000000,0.15605239821729253,6.32792472508812e-05,-0.010440515847549445,0.0009706272986405183,,,0.3688266928194899,450001,200,1000001,10000001
-163,linear,2000000,0.15626120268802046,9.708138495552285e-05,-0.013715918764344612,0.0015049208668527889,,,0.2955387343032658,400001,200,2000001,10000001
-163,linear,3000000,0.15658222265769764,0.0001362541835740648,-0.01876527050377404,0.0021287204211574693,,,0.28185202318798763,350001,200,3000001,10000001
-163,quadratic,1000000,0.16009943578548402,0.0015496182187520649,-0.1327345339194139,0.046798445211885864,0.92220002563027,0.3528260017128941,0.3899813504238775,450001,200,1000001,10000001
-163,quadratic,2000000,0.16498343571518959,0.00350651044167928,-0.28206518800975783,0.10785165567554977,2.06219374458793,0.8287330554720871,0.31700617310313917,400001,200,2000001,10000001
-163,quadratic,3000000,0.14573679134802456,0.006745827738624782,0.31863982632571314,0.20983325889920726,-2.622910800411042,1.6311129530170099,0.2911563130651996,350001,200,3000001,10000001
-67,linear,1000000,0.24129718863820868,0.00010689337765426726,0.27154955418145416,0.001639615433220523,,,0.9928331671749271,450001,200,1000001,10000001
-67,linear,2000000,0.2415590308528252,0.0001204667774119312,0.2674526282503511,0.0018674328469127583,,,0.9904393084865798,400001,200,2000001,10000001
-67,linear,3000000,0.2416986243459284,0.00016313471985008273,0.2652582040370684,0.002548679243715893,,,0.9820489019485049,350001,200,3000001,10000001
-67,quadratic,1000000,0.24790986084954736,0.002620586255964083,0.07172678473823739,0.079141662661607,1.5068321902201167,0.5966701731089455,0.9930579096552151,450001,200,1000001,10000001
-67,quadratic,2000000,0.249754865303443,0.004380247694718817,0.015298600855201997,0.13472566929479682,1.9377375590741173,1.0352332086684004,0.990606371671776,400001,200,2000001,10000001
-67,quadratic,3000000,0.25247004028290865,0.008093175494280876,-0.06984424910059955,0.2517433671015087,2.605010569900229,1.9568960090956218,0.9822089383642154,350001,200,3000001,10000001
-43,linear,1000000,0.30346910482082223,0.0001400189493771948,0.3996205268058858,0.0021477217333772487,,,0.9943134488269133,450001,200,1000001,10000001
-43,linear,2000000,0.3042736872035839,0.00020870033519426498,0.38704307063035964,0.0032351978651408114,,,0.9863547520065914,400001,200,2000001,10000001
-43,linear,3000000,0.304772297852849,0.00028787637503348485,0.3791979795568695,0.004497537633179948,,,0.9729011118363946,350001,200,3000001,10000001
-43,quadratic,1000000,0.32555424987235915,0.0031120578179824184,-0.26775186164944187,0.09398409590741476,5.032550597665179,0.7085712491831319,0.9954727100865124,450001,200,1000001,10000001
-43,quadratic,2000000,0.32734037640096797,0.007477044680436481,-0.32262946056066744,0.2299755445641688,5.453647250999673,1.767134074453783,0.9869840340142328,400001,200,2000001,10000001
-43,quadratic,3000000,0.32741921294159354,0.014254680966877743,-0.3253553351270599,0.4434009105690908,5.4770378868455065,3.4467222803615964,0.973244063412259,350001,200,3000001,10000001
-19,linear,1000000,0.47318524539370793,0.00020847400068384916,0.5899492445489255,0.003197739620989695,,,0.9942163369593671,450001,200,1000001,10000001
-19,linear,2000000,0.47374667153111905,0.0002794504563687336,0.5811780213917191,0.0043319409095112765,,,0.9891192079667862,400001,200,2000001,10000001
-19,linear,3000000,0.4742399284621574,0.00029457617775733615,0.5734111475602592,0.00460220969903425,,,0.9874060628093214,350001,200,3000001,10000001
-19,quadratic,1000000,0.4907783760934885,0.005039197291390569,0.05831725263215848,0.15218367692071957,4.008953539194475,1.147353464646023,0.9945538502981537,450001,200,1000001,10000001
-19,quadratic,2000000,0.4958160103132482,0.010129550253425662,-0.09780990709704132,0.3115601063367847,5.21784412798125,2.3940305530815005,0.9893754020847811,400001,200,2000001,10000001
-19,quadratic,3000000,0.5021620576496674,0.01454413954281075,-0.2952558914162895,0.45240470352937906,6.752820807695479,3.5167121542302757,0.9876374495923648,350001,200,3000001,10000001
-11,linear,1000000,0.6507083824085074,0.0002805535784630863,0.6655528450602439,0.004303353371254965,,,0.9917901745656069,450001,200,1000001,10000001
-11,linear,2000000,0.6514674850635224,0.0003357247350606812,0.6536927333150699,0.005204284627201342,,,0.9876056565727379,400001,200,2000001,10000001
-11,linear,3000000,0.6520966588046716,0.0003787862734227407,0.643791389753849,0.0059178371947076515,,,0.983545102971448,350001,200,3000001,10000001
-11,quadratic,1000000,0.672809024756359,0.0068084711056488195,-0.002287843133755501,0.20561571757397726,5.036081972607427,1.55019191754107,0.9922076371895895,450001,200,1000001,10000001
-11,quadratic,2000000,0.6735933729207809,0.012213848298580318,-0.027034990813207677,0.37566799902099596,5.2312140011124955,2.8866361552049304,0.9878088913301988,400001,200,2000001,10000001
-11,quadratic,3000000,0.6563272488623657,0.018873653070568465,0.5121762785328653,0.5870769732904222,1.023146063775315,4.563570430043235,0.9835493004071562,350001,200,3000001,10000001
-8,linear,1000000,0.6920676162950297,7.036868380775172e-05,0.8193748839007334,0.0010793707011465072,,,0.9996565275152274,450001,200,1000001,10000001
-8,linear,2000000,0.6927127738703177,7.605201755127805e-05,0.8092866127194308,0.0011789311435102454,,,0.9995799945612092,400001,200,2000001,10000001
-8,linear,3000000,0.6934659701038659,7.342805612860976e-05,0.7974322739521692,0.0011471780055979197,,,0.9995903987505455,350001,200,3000001,10000001
-8,quadratic,1000000,0.7116696494935496,0.0010577689225754953,0.22703756015893273,0.031944604400592075,4.466722933377294,0.24083892094984483,0.9998749215841349,450001,200,1000001,10000001
-8,quadratic,2000000,0.7232547187463343,0.0017447803514311073,-0.13037053279400362,0.05366516165338829,7.22101868577485,0.4123635665196222,0.9998357156204785,400001,200,2000001,10000001
-8,quadratic,3000000,0.7164192372033666,0.00327320237904772,0.08334824288622573,0.10181504017655794,5.551127517289567,0.7914466549066135,0.9996722455031047,350001,200,3000001,10000001
-7,linear,1000000,0.43148511233631115,0.00018587867560855887,0.5125569045655733,0.002851154598371115,,,0.9939106645682123,450001,200,1000001,10000001
-7,linear,2000000,0.4318779671932799,0.0002592588019643026,0.5064146723753654,0.004018937113125082,,,0.9876833448555683,400001,200,2000001,10000001
-7,linear,3000000,0.43227082720616117,7.533271849677761e-05,0.5002318401904233,0.0011769348436793362,,,0.998905157560205,350001,200,3000001,10000001
-7,quadratic,1000000,0.44319709401331053,0.004554220991632874,0.15864239926871176,0.1375374004904184,2.6688138226343767,1.0369312672954902,0.9941087611579188,450001,200,1000001,10000001
-7,quadratic,2000000,0.4485027679634841,0.009436165780022349,-0.005065945505216225,0.2902333016059673,3.9305943840923416,2.2301552009849472,0.9878745406535678,400001,200,2000001,10000001
-7,quadratic,3000000,0.4464927782009992,0.003614665002749735,0.05778205506867185,0.11243645209216584,3.4395044145461333,0.8740108901749563,0.9989849529228828,350001,200,3000001,10000001
-4,linear,1000000,0.7350324819819152,6.443918245219267e-05,0.7748225637090183,0.000988419305024275,,,0.9996778907497718,450001,200,1000001,10000001
